Cereal Name,Cereal Manufacturer,Cereal Manufacturer (Code),Calories per Serving,Sodium (mg),Fiber (g),Carbohydrates (g),Sugars (g)
Apple Cinnamon Cheerios,General Mills,1,115,180,1.5,10.5,10
Basic 4,General Mills,1,130,210,2,18,8
Cheerios,General Mills,1,115,290,2,17,1
Cinnamon Toast Crunch,General Mills,1,120,210,0,13,9
Clusters,General Mills,1,105,140,2,13,7
Cocoa Puffs,General Mills,1,105,180,0,12,13
Count Chocula,General Mills,1,115,180,0,12,13
Crispy Wheat & Raisins,General Mills,1,100,140,2,11,10
Golden Grahams,General Mills,1,105,280,0,15,9
Honey Nut Cheerios,General Mills,1,105,250,1.5,11.5,10
Kix,General Mills,1,110,260,0,21,3
Lucky Charms,General Mills,1,110,180,0,12,12
Multi-Grain Cheerios,General Mills,1,100,220,2,15,6
Oatmeal Raisin Crisp,General Mills,1,130,170,1.5,13.5,10
Raisin Nut Bran,General Mills,1,100,140,2.5,10.5,8
Total Corn Flakes,General Mills,1,115,200,0,21,3
Total Raisin Bran,General Mills,1,140,190,4,15,14
Total Whole Grain,General Mills,1,100,200,3,16,3
Triples,General Mills,1,105,250,0,21,3
Trix,General Mills,1,115,140,0,13,12
Wheaties,General Mills,1,100,200,3,17,3
Wheaties Honey Gold,General Mills,1,110,200,1,16,8
All-Bran,Kellogg's,2,70,260,9,7,5
All-Bran with Extra Fiber,Kellogg's,2,50,140,14,8,0
Apple Jacks,Kellogg's,2,110,125,1,11,14
Corn Flakes,Kellogg's,2,100,290,1,21,2
Corn Pops,Kellogg's,2,110,90,1,13,12
Cracklin' Oat Bran,Kellogg's,2,110,140,4,10,7
Crispix,Kellogg's,2,110,220,1,21,3
Froot Loops,Kellogg's,2,110,125,1,11,13
Frosted Flakes,Kellogg's,2,110,200,1,14,11
Frosted Mini-Wheats,Kellogg's,2,100,0,3,14,7
Fruitful Bran,Kellogg's,2,120,240,5,14,12
Just Right Crunchy  Nuggets,Kellogg's,2,110,170,1,17,6
Just Right Fruit & Nut,Kellogg's,2,140,170,2,20,9
Mueslix Crispy Blend,Kellogg's,2,160,150,3,17,13
Nut&Honey Crunch,Kellogg's,2,120,190,0,15,9
Nutri-Grain Almond-Raisin,Kellogg's,2,140,220,3,21,7
Nutri-grain Wheat,Kellogg's,2,90,170,3,18,2
Product 19,Kellogg's,2,100,320,1,20,3
Raisin Bran,Kellogg's,2,120,210,5,14,12
Raisin Squares,Kellogg's,2,90,0,2,15,6
Rice Krispies,Kellogg's,2,110,290,0,22,3
Smacks,Kellogg's,2,110,70,1,9,16
Special K,Kellogg's,2,110,230,1,16,3
Bran Flakes,Post,3,90,210,5,13,5
Fruit & Fibre Dates; Walnuts; and Oats,Post,3,120,160,5,12,10
Fruity Pebbles,Post,3,110,135,0,13,12
Golden Crisp,Post,3,100,45,0,11,15
Grape Nuts Flakes,Post,3,100,140,3,15,5
Grape-Nuts,Post,3,110,170,3,17,3
Great Grains Pecan,Post,3,120,75,3,13,4
Honey-comb,Post,3,110,180,0,14,11
Post Nat. Raisin Bran,Post,3,120,200,6,11,14
100% Natural Bran,Quaker Oats,4,120,15,2,8,8
Cap'n'Crunch,Quaker Oats,4,120,220,0,12,12
Honey Graham Ohs,Quaker Oats,4,120,220,1,12,11
Life,Quaker Oats,4,100,150,2,12,6
Puffed Rice,Quaker Oats,4,50,0,0,13,0
Puffed Wheat,Quaker Oats,4,50,0,1,10,0
Quaker Oat Squares,Quaker Oats,4,100,135,2,14,6
Quaker Oatmeal,Quaker Oats,4,150,0,4,27,1
Almond Delight,Ralston Purina,5,110,200,1,14,8
Bran Chex,Ralston Purina,5,90,200,4,15,6
Corn Chex,Ralston Purina,5,110,280,0,22,3
Double Chex,Ralston Purina,5,100,190,1,18,5
Muesli Raisins; Dates; & Almonds,Ralston Purina,5,150,95,3,16,11
Muesli Raisins; Peaches; & Pecans,Ralston Purina,5,150,150,3,16,11
Rice Chex,Ralston Purina,5,110,240,0,23,2
Wheat Chex,Ralston Purina,5,100,230,3,17,3
